mean,bias,CI,miss_percent,std,accuracy_a,accuracy_b,bias_perc,median,bias_median,bias_median_perc,iqr,bias_iqr,bias_iqr_perc,bias_std
0.09689667519181586,0.0005363939967367587,"(0.09545386005849839, 0.09833949032513332)",0.31282952548330406,0.014511126312799568,0.9576271186440678,0.9122807017543859,0.0055665466111586145,0.09686,0.0009900000000000048,0.010326483780118962,0.019949999999999996,0.0010199999999999931,0.053882725832012306,0.000446998175125949
0.09698141772151898,0.000621136526439886,"(0.09549255627941064, 0.09847027916362733)",0.30579964850615116,0.015051112781269943,0.9747899159663865,0.9298245614035088,0.006445980841239036,0.09667,0.000800000000000009,0.008344633357671941,0.020019999999999996,0.0010899999999999938,0.057580559957738704,0.0009869846435963236
0.09645422784810127,9.394665302217553e-05,"(0.09501973898361304, 0.0978887167125895)",0.30579964850615116,0.01450145263505121,0.9327731092436975,0.9239766081871345,0.0009749520430724228,0.09594,7.000000000000062e-05,0.0007301554187962931,0.020405000000000006,0.001475000000000004,0.07791864764923423,0.00043732449737758985
0.09579649758454106,-0.000563783610538035,"(0.09440892648441016, 0.09718406868467197)",0.27240773286467485,0.014362589606242,0.92,0.9181286549707602,0.00585078834916088,0.094625,-0.0012449999999999961,0.012986335662876772,0.018737500000000018,-0.00019249999999998435,0.010169043845746663,0.00029846146856838014
0.09660042394014963,0.0002401427450705318,"(0.09513801291105115, 0.09806283496924811)",0.29525483304042177,0.014896268461256511,0.9256198347107438,0.9239766081871345,0.00249213412510045,0.09657,0.0007000000000000062,0.007301554187962931,0.021089999999999998,0.0021599999999999953,0.114104595879556,0.0008321403235828917
0.09599826086956521,-0.0003620203255138843,"(0.09455009456500289, 0.09744642717412753)",0.31282952548330406,0.01456494576621548,0.9067796610169492,0.9064327485380117,0.003756945507257111,0.09516,-0.0007100000000000023,0.007405862104933788,0.020504999999999995,0.001574999999999993,0.08320126782884273,0.0005008176285418598
0.09668737913486004,0.0003270979397809459,"(0.09521759146892905, 0.09815716680079103)",0.3093145869947276,0.014820396607835538,0.9322033898305084,0.9239766081871345,0.0033945307726815773,0.09594,7.000000000000062e-05,0.0007301554187962931,0.020480000000000012,0.0015500000000000097,0.08188061278394133,0.000756268470161919
0.09665266497461932,0.0002923837795402173,"(0.09519408521962118, 0.09811124472961745)",0.30755711775043937,0.014726199057508544,0.9327731092436975,0.9298245614035088,0.0030342769439235377,0.09603500000000001,0.00016500000000001236,0.0017210806300199475,0.020045000000000007,0.0011150000000000049,0.05890121500264156,0.0006620709198349242
0.09734245614035088,0.0009821749452717798,"(0.09592126692202926, 0.09876364535867249)",0.29876977152899825,0.014440012840598145,0.925,0.9122807017543859,0.010192736396061258,0.09714,0.0012700000000000072,0.013247105455304133,0.019960000000000006,0.0010300000000000031,0.054410987849973745,0.0003758847029245258
0.09658603217158176,0.00022575097650266718,"(0.0950475627241099, 0.09812450161905363)",0.3444639718804921,0.01511053804536647,0.9375,0.9122807017543859,0.002342780383191698,0.09639,0.0005200000000000066,0.00542401168248677,0.021169999999999994,0.002239999999999992,0.11833069202324309,0.0010464099076928513
0.09617546341463414,-0.00018481778044496244,"(0.09478720906231262, 0.09756371776695565)",0.27943760984182775,0.014299663695837803,0.9512195121951219,0.9298245614035088,0.0019179871431757576,0.094935,-0.0009349999999999914,0.009752790236778882,0.020312499999999983,0.001382499999999981,0.0730322239830946,0.00023553555816418353
0.09668125000000001,0.0003209688049209125,"(0.09520134489046066, 0.09816115510953936)",0.3110720562390158,0.01490329902950738,0.9322033898305084,0.9239766081871345,0.003330924328366361,0.095955,8.500000000000174e-05,0.000886617294252652,0.0203975,0.0014674999999999966,0.07752245113576314,0.0008391708918337598
0.0958179856115108,-0.000542295583568303,"(0.09440768186067387, 0.09722828936234772)",0.2671353251318102,0.014650998629319808,0.9444444444444444,0.9298245614035088,0.005627791625788622,0.09491,-0.0009600000000000025,0.010013560029206243,0.020019999999999996,0.0010899999999999938,0.057580559957738704,0.0005868704916461888
0.096101328125,-0.0002589530700791015,"(0.09456052559945577, 0.09764213065054422)",0.3251318101933216,0.015356418532245196,0.9310344827586207,0.9181286549707602,0.0026873424077588273,0.094625,-0.0012449999999999961,0.012986335662876772,0.021625000000000005,0.002695000000000003,0.142366613840465,0.0012922903945715766
0.09596814285714285,-0.00039213833793624864,"(0.09456445171875887, 0.09737183399552683)",0.2618629173989455,0.014634969282454866,0.9444444444444444,0.9298245614035088,0.004069501801705766,0.09463,-0.0012399999999999911,0.01293418170439127,0.02015249999999999,0.0012224999999999875,0.06458003169572041,0.0005708411447812468
0.09699677108433734,0.0006364898892582405,"(0.09556805911430222, 0.09842548305437246)",0.27065026362038663,0.014806388805252346,0.936,0.9298245614035088,0.006605313738859705,0.09688,0.001009999999999997,0.010535099614060676,0.01982500000000001,0.0008950000000000069,0.04727945060750168,0.0007422606675787265
0.09633035264483628,-2.992855024282204e-05,"(0.09488849640823542, 0.09777220888143713)",0.3022847100175747,0.014613012340831967,0.9416666666666667,0.9298245614035088,0.00031059010903291575,0.09592,5.000000000000837e-05,0.0005215395848545778,0.020169999999999993,0.0012399999999999911,0.06550449022715218,0.0005488842031583473
0.09696857506361323,0.0006082938685341294,"(0.09548581050217003, 0.09845133962505642)",0.3093145869947276,0.01495124730327073,0.9152542372881356,0.9415204678362573,0.00631270333575151,0.09587,0.0,0.0,0.021140000000000006,0.0022100000000000036,0.11674590596936098,0.0008871191655971111
