mean,bias,CI,miss_percent,std,accuracy_a,accuracy_b,bias_perc,median,bias_median,bias_median_perc,iqr,bias_iqr,bias_iqr_perc,bias_std
0.09816776344086021,0.0018074822457811168,"(0.096900969487586, 0.09943455739413443)",0.1827768014059754,0.013901128650064471,0.9142857142857143,0.9298245614035088,0.018757544325985434,0.09779,0.001920000000000005,0.020027120058412486,0.018460000000000004,-0.0004699999999999982,0.024828314844162605,-0.00016299948760914798
0.09887787746170679,0.002517596266627689,"(0.09763442467230836, 0.10012133025110521)",0.1968365553602812,0.01352648887945442,0.9202898550724637,0.9298245614035088,0.02612690867444518,0.09831,0.0024399999999999977,0.02545113174089911,0.01779,-0.0011400000000000021,0.06022187004754369,-0.000537639258219199
0.09815027837259101,0.0017899971775119095,"(0.09688521341322556, 0.09941534333195645)",0.17926186291739896,0.013912133792504291,0.9361702127659575,0.9239766081871345,0.018576089186457465,0.09746,0.001590000000000008,0.016584958798372882,0.019135000000000013,0.00020500000000001073,0.010829371368199192,-0.00015199434516932793
0.09864478070175439,0.0022844995066752943,"(0.09738473636870316, 0.09990482503480562)",0.19859402460456943,0.013691889504139331,0.9197080291970803,0.9122807017543859,0.023707895808755264,0.09831,0.0024399999999999977,0.02545113174089911,0.018962499999999993,3.249999999999087e-05,0.0017168515583724704,-0.00037223863353428796
0.09889017897091723,0.002529897775838133,"(0.09760873074526226, 0.1001716271965722)",0.21441124780316345,0.013785629141243991,0.9259259259259259,0.9239766081871345,0.0262545702903919,0.09867,0.002799999999999997,0.029206216751851435,0.018290000000000015,-0.0006399999999999878,0.0338087691494975,-0.00027849899642962833
0.09829601713062099,0.001935735935541888,"(0.0970458176344064, 0.09954621662683558)",0.17926186291739896,0.013748655774469595,0.9432624113475178,0.9181286549707602,0.020088525184178703,0.0978,0.0019300000000000012,0.020131427975383344,0.018159999999999996,-0.0007700000000000068,0.040676175382990315,-0.0003154723632040248
0.09871550884955753,0.002355227654478431,"(0.09747113316157766, 0.0999598845375374)",0.2056239015817223,0.013461876463640431,0.9044117647058824,0.9239766081871345,0.02444189271002986,0.09831,0.0024399999999999977,0.02545113174089911,0.01854,-0.00039000000000000146,0.02060221870047551,-0.0006022516740331885
0.09866174208144797,0.0023014608863688724,"(0.09735389879558164, 0.0999695853673143)",0.22319859402460457,0.013990241428757206,0.9323308270676691,0.9298245614035088,0.023883916254972517,0.098695,0.002825000000000008,0.029466986544278796,0.01855000000000001,-0.00037999999999999146,0.020073956682514073,-7.388670891641386e-05
0.09863505518763797,0.002274773992558876,"(0.09736957356612733, 0.09990053680914862)",0.2038664323374341,0.013705421439057203,0.9485294117647058,0.935672514619883,0.023606967148151532,0.09832,0.0024500000000000077,0.025555439657870115,0.017769999999999994,-0.0011600000000000082,0.061278394083465824,-0.00035870669861641676
0.09814802603036876,0.0017877448352896647,"(0.09688275329658615, 0.09941329876415138)",0.18980667838312829,0.01382427423236008,0.920863309352518,0.935672514619883,0.018552715009936695,0.09768,0.001810000000000006,0.018879732971732618,0.018729999999999997,-0.00020000000000000573,0.010565240359218473,-0.00023985390531353935
0.09800608050847458,0.0016457993133954796,"(0.09674266601462936, 0.0992694950023198)",0.1704745166959578,0.013968550348193711,0.9154929577464789,0.9298245614035088,0.017079644154043075,0.09753,0.0016600000000000087,0.017315114217169175,0.018782500000000008,-0.00014749999999999486,0.007791864764923129,-9.5577789479908e-05
0.09906066513761468,0.002700383942535578,"(0.09779396690719319, 0.10032736336803616)",0.23374340949033393,0.013457311058896025,0.8931297709923665,0.9415204678362573,0.02802382796153028,0.098695,0.002825000000000008,0.029466986544278796,0.017697500000000005,-0.0012324999999999975,0.06510829371368185,-0.0006068170787775946
0.0989090909090909,0.002548809714011807,"(0.09762190707083004, 0.10019627474735177)",0.22671353251318102,0.013737883809505403,0.9545454545454546,0.9298245614035088,0.026450833086007736,0.09840499999999999,0.0025349999999999956,0.026442056952122622,0.018247500000000014,-0.0006824999999999887,0.03605388272583141,-0.0003262443281682164
0.09784425576519917,0.0014839745701200752,"(0.0966117142053892, 0.09907679732500915)",0.1616871704745167,0.013699571932587067,0.9305555555555556,0.9298245614035088,0.015400272308419316,0.09746,0.001590000000000008,0.016584958798372882,0.0189,-3.0000000000002247e-05,0.0015847860538828443,-0.00036455620508655216
0.09817326839826838,0.0018129872031892869,"(0.09693518782819888, 0.09941134896833789)",0.18804920913884007,0.013541915804437983,0.9424460431654677,0.9239766081871345,0.018814673231587375,0.09759999999999999,0.0017299999999999954,0.01804526963596532,0.017939999999999998,-0.0009900000000000048,0.0522979397781302,-0.0005222123332356363
0.0986863436123348,0.002326062417255706,"(0.09742353007519614, 0.09994915714947347)",0.20210896309314588,0.013691693871926617,0.927007299270073,0.9298245614035088,0.024139224049654316,0.09831,0.0024399999999999977,0.02545113174089911,0.018537500000000012,-0.0003924999999999901,0.020734284204965137,-0.00037243426574700214
0.09883957964601771,0.0024792984509386107,"(0.09760339324177038, 0.10007576605026504)",0.2056239015817223,0.013373283342609376,0.875,0.9239766081871345,0.025729464673513457,0.098195,0.0023250000000000076,0.024251590695733887,0.018557500000000005,-0.00037249999999999783,0.01967776016904373,-0.0006908447950642431
0.0984470288248337,0.0020867476297545956,"(0.09719382635507982, 0.09970023129458756)",0.20738137082601055,0.01354227978662261,0.9411764705882353,0.9239766081871345,0.02165568223623201,0.09773,0.0018600000000000005,0.01940127255658705,0.018409999999999982,-0.0005200000000000204,0.027469624933968324,-0.0005218483510510095
